"origin","destination","arr_delay_time","num_of_flights","flight_time","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"ATL","ABQ",9.8416,6817,174.1343,1269.0000,5.1221,0.5119,3.6432,0.0000,4.9781
"ATL","ALB",10.9597,4804,111.7725,852.0000,3.7945,0.3130,2.6104,0.0000,6.1282
"ATL","ANC",18.8634,639,422.3171,3417.0000,8.7900,0.6014,7.8292,0.0000,5.6103
"ATL","AUS",9.7680,8961,116.6388,813.0000,4.2437,0.4736,2.9455,0.0000,5.7418
"ATL","BDL",7.8919,14439,113.0534,859.0000,4.2100,0.3666,2.9706,0.0120,4.1629
"ATL","BHM",8.5929,14593,27.9480,134.0000,3.7180,0.3841,2.1536,0.0000,5.5372
"ATL","BNA",9.9660,12593,38.7433,214.0000,4.3133,0.4869,2.5747,0.0000,5.2556
"ATL","BOI",16.1154,629,240.5208,1838.0000,5.4448,0.4893,5.6656,0.0000,5.8155
"ATL","BOS",9.1580,24587,122.0097,946.0000,3.9851,0.4245,5.2172,0.0180,3.6092
"ATL","BTR",5.2114,2186,69.8375,449.0000,2.7233,0.2063,2.2860,0.0000,2.3400
"ATL","BUF",9.1859,4573,94.6945,712.0000,4.6780,0.7521,2.9671,0.0000,6.3973
"ATL","BUR",28.5442,422,258.2243,1941.0000,6.2014,1.4621,9.5924,0.0000,11.4976
"ATL","BWI",9.5691,22342,79.9883,576.0000,4.4204,0.4207,3.7851,0.0068,4.1613
"ATL","BZN",3.2378,165,222.3415,1641.0000,5.5902,1.8115,3.4098,0.0000,3.0492
"ATL","CAE",9.2821,5594,33.3773,191.0000,3.5640,0.3626,2.1752,0.0105,5.5065
"ATL","CAK",8.3143,219,75.4000,528.0000,3.0240,0.3600,7.1440,0.0000,4.1120
"ATL","CHS",9.2044,14393,41.0330,259.0000,3.8851,0.3974,2.5204,0.0000,5.8533
"ATL","CLE",9.2541,7223,79.4210,554.0000,3.9129,0.3933,2.6849,0.0063,5.0465
"ATL","CLT",9.2030,15124,41.8897,227.0000,3.6139,0.4372,3.7374,0.0022,4.3840
"ATL","CMH",7.5328,11058,65.9095,446.0000,3.5704,0.4006,2.0455,0.0043,4.0353
"ATL","COS",7.5599,3174,161.3019,1185.0000,4.1967,0.4138,3.2780,0.0000,2.4488
